Index,date,bet,length,game_num,aw,hw,ao,ho,ab1,hb1,ab2,hb2,ab3,hb3,ab4,hb4,ab5,hb5,ab6,hb6,ab7,hb7,ab8,hb8,ab9,hb9,ab10,hb10
0,20150401,p,full,0,-,-,+4½-110,-4½-110,+5½-105,-5½-105,+5½-110,-5½-110,+5½-110,-5½-110,+5½-110,-5½-110,+5½-115,-5½-105,+5½-108,-5½-108,+5½-110,-5½-110,+5½-110,-5½-110,+5½-110,-5½-110,+5½-110,-5½-110
1,20150401,p,full,1,-,-,+11-110,-11-110,-,-,-9-110,+9-110,-,-,+3½-110,-3½-110,-,-,-9½-110,+9½-110,-,-,-5-110,+5-110,-,-,-8½-110,+8½-110
2,20150401,p,first,0,-,-,+2½-110,-2½-110,+3-105,-3-105,+3-110,-3-110,+3-114,-3-106,+3-120,-3+100,+3-115,-3-105,+3-110,-3-110,+3-110,-3-110,+3-110,-3-110,+3-115,-3-105,+3-120,-3+100
3,20150401,p,first,1,-,-,+6-110,-6-110,-,-,-5-105,+5-115,-,-,+2-115,-2-105,-,-,-6-105,+6-115,-,-,-3-110,+3-110,-,-,-4½-110,+4½-110
4,20150401,p,sec,0,-,-,-½+100,+½-120,-½+102,+½-113,-½-135,+½+115,-½-110,+½-110,-½-110,+½-110,-½-120,+½+100,-½-110,+½-110,-,-,-,-,-½-110,+½-110,-½-110,+½-110
5,20150401,p,sec,1,-,-,PK-110,PK-110,-,-,-2½-110,+2½-110,-,-,-1-110,+1-110,-,-,-4-110,+4-110,-,-,-3½-110,+3½-110,-,-,-2½-110,+2½-110
6,20150401,m,full,0,-,-,+160,-185,+190,-212,+180,-220,+195,-235,+185,-215,+180,-220,+190,-225,+190,-230,+185,-220,+195,-235,+185,-215
7,20150401,m,full,1,-,-,+550,-800,-,-,-450,+360,-,-,+145,-165,-,-,-550,+425,-,-,-200,+170,-,-,-440,+350
8,20150401,m,first,0,-,-,+145,-165,+163,-181,+160,-185,-,-,+150,-170,-,-,+160,-185,-,-,+162,-185,-,-,+150,-170
9,20150401,m,first,1,-,-,+275,-335,-,-,-265,+225,-,-,+130,-150,-,-,-310,+255,-,-,-170,+150,-,-,-265,+225
10,20150401,m,sec,0,-,-,-125,+105,-110,+100,-120,+100,-,-,-120,+100,-,-,-120,+100,-,-,-,-,-,-,-120,+100
11,20150401,m,sec,1,-,-,-120,+100,-,-,-170,+150,-,-,-135,+115,-,-,-240,+200,-,-,-175,+155,-,-,-160,+140
12,20150401,t,full,0,-,-,195½-110,195½-110,196½+103,196½-114,196-110,196-110,196-110,196-110,196-110,196-110,196-115,196-105,196-108,196-108,196-110,196-110,196-110,196-110,196-110,196-110,196-110,196-110
13,20150401,t,full,1,-,-,194-110,194-110,-,-,198-110,198-110,-,-,201½-110,201½-110,-,-,193-110,193-110,-,-,192-110,192-110,-,-,204½-105,204½-105
14,20150401,t,first,0,-,-,98-110,98-110,99-110,99+100,99½-110,99½-110,99½-110,99½-110,99-125,99+105,99½-110,99½-110,99½-110,99½-110,99½-110,99½-110,99½-110,99½-110,99½-110,99½-110,99-125,99+105
