Index,date,bet,length,game_num,aw,hw,ao,ho,ab1,hb1,ab2,hb2,ab3,hb3,ab4,hb4,ab5,hb5,ab6,hb6,ab7,hb7,ab8,hb8,ab9,hb9,ab10,hb10
0,20130401,p,full,0,-,-,+6-110,-6-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,20130401,p,full,1,-,-,+10-110,-10-110,-,-,+12½-110,-12½-110,-,-,+3-110,-3-110,-,-,+5-110,-5-110,-,-,+12-110,-12-110,-,-,+11½-110,-11½-110
2,20130401,p,first,0,-,-,+3-110,-3-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,20130401,p,first,1,-,-,+6-115,-6-105,-,-,+7-105,-7-115,-,-,+2-115,-2-105,-,-,+3-115,-3-105,-,-,+7-115,-7-105,-,-,+5-115,-5-105
4,20130401,p,sec,0,-,-,+4-110,-4-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,20130401,p,sec,1,-,-,+3½-110,-3½-110,-,-,+1½-110,-1½-110,-,-,+2-110,-2-110,-,-,+7-110,-7-110,-,-,+5-110,-5-110,-,-,+4-110,-4-110
6,20130401,m,full,0,-,-,+210,-250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,20130401,m,full,1,-,-,+485,-575,-,-,+800,-1000,-,-,+140,-160,-,-,+175,-210,-,-,+650,-1000,-,-,+425,-485
8,20130401,m,first,0,-,-,+160,-185,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,20130401,m,first,1,-,-,+290,-350,-,-,+360,-450,-,-,+130,-150,-,-,+150,-170,-,-,+360,-450,-,-,+235,-275
10,20130401,m,sec,0,-,-,+190,-230,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,20130401,m,sec,1,-,-,+190,-230,-,-,+125,-145,-,-,+130,-150,-,-,+290,-350,-,-,+255,-310,-,-,+215,-255
12,20130401,t,full,0,-,-,194-110,194-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,20130401,t,full,1,-,-,200-110,200-110,-,-,206½-110,206½-110,-,-,191-110,191-110,-,-,186-110,186-110,-,-,205-110,205-110,-,-,200-110,200-110
14,20130401,t,first,0,-,-,97½-110,97½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,20130401,t,first,1,-,-,101½-110,101½-110,-,-,103-110,103-110,-,-,97½-110,97½-110,-,-,93½-110,93½-110,-,-,103-110,103-110,-,-,101-110,101-110
16,20130401,t,sec,0,-,-,97½-110,97½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,20130401,t,sec,1,-,-,99½-110,99½-110,-,-,99½-110,99½-110,-,-,94½-110,94½-110,-,-,95-110,95-110,-,-,103-110,103-110,-,-,98½-110,98½-110
18,20130402,p,full,0,-,-,+1½-110,-1½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,20130402,p,first,0,-,-,+½-110,-½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,20130402,p,sec,0,-,-,+3½-110,-3½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,20130402,m,full,0,-,-,+105,-125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,20130402,m,first,0,-,-,+100,-120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,20130402,m,sec,0,-,-,+170,-200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,20130402,t,full,0,-,-,186-110,186-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,20130402,t,first,0,-,-,95-110,95-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,20130402,t,sec,0,-,-,91½-110,91½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,20130403,p,full,0,-,-,+2½-110,-2½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,20130403,p,full,1,-,-,+3½-110,-3½-110,-,-,-3½-110,+3½-110,-,-,-4-110,+4-110,-,-,+8-110,-8-110,-,-,+5-110,-5-110,-,-,+14½-110,-14½-110
29,20130403,p,first,0,-,-,+1½-115,-1½-105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,20130403,p,first,1,-,-,+2-115,-2-105,-,-,-2½-110,+2½-110,-,-,-3-105,+3-115,-,-,+4-110,-4-110,-,-,+3-115,-3-105,-,-,+8-110,-8-110
31,20130403,p,sec,0,-,-,+3-110,-3-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,20130403,p,sec,1,-,-,+5-110,-5-110,-,-,+3-110,-3-110,-,-,-1½-110,+1½-110,-,-,+½+120,-½-140,-,-,+5-110,-5-110,-,-,+6½-110,-6½-110
33,20130403,m,full,0,-,-,+120,-140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,20130403,m,full,1,-,-,+145,-165,-,-,-175,+165,-,-,-190,+165,-,-,+290,-350,-,-,+175,-190,-,-,+1150,-1800
35,20130403,m,first,0,-,-,+110,-130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,20130403,m,first,1,-,-,+135,-155,-,-,-165,+145,-,-,-165,+145,-,-,+190,-230,-,-,+145,-165,-,-,+400,-500
37,20130403,m,sec,0,-,-,+160,-185,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,20130403,m,sec,1,-,-,+250,-300,-,-,+175,-210,-,-,-145,+125,-,-,+105,-125,-,-,+230,-270,-,-,+315,-380
39,20130403,t,full,0,-,-,196½-110,196½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,20130403,t,full,1,-,-,195½-110,195½-110,-,-,197-110,197-110,-,-,193½-110,193½-110,-,-,195-110,195-110,-,-,207-110,207-110,-,-,199½-110,199½-110
41,20130403,t,first,0,-,-,99½-110,99½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,20130403,t,first,1,-,-,98-110,98-110,-,-,99-110,99-110,-,-,99-110,99-110,-,-,99-110,99-110,-,-,104-110,104-110,-,-,99½-110,99½-110
43,20130403,t,sec,0,-,-,94½-110,94½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,20130403,t,sec,1,-,-,96-110,96-110,-,-,98½-110,98½-110,-,-,96-110,96-110,-,-,97½-110,97½-110,-,-,103-117,103-103,-,-,98½-110,98½-110
45,20130404,p,full,0,-,-,+5-110,-5-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,20130404,p,first,0,-,-,+3-115,-3-105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,20130404,p,sec,0,-,-,-½+100,+½-120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,20130404,m,full,0,-,-,+160,-185,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,20130404,m,first,0,-,-,+140,-160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,20130404,m,sec,0,-,-,-115,-105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,20130404,t,full,0,-,-,186½-110,186½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,20130404,t,first,0,-,-,94½-110,94½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,20130404,t,sec,0,-,-,92-118,92-102,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,20130405,p,full,0,-,-,+7-110,-7-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,20130405,p,full,1,-,-,+8-110,-8-110,-,-,+6½-110,-6½-110,-,-,-5-110,+5-110,-,-,+6-110,-6-110,-,-,+9-110,-9-110,-,-,+2½-110,-2½-110
56,20130405,p,first,0,-,-,+3½-110,-3½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,20130405,p,first,1,-,-,+4-105,-4-115,-,-,+3-105,-3-115,-,-,-3-105,+3-115,-,-,+3-105,-3-115,-,-,+5-115,-5-105,-,-,+1½-115,-1½-105
58,20130405,p,sec,0,-,-,+6½-110,-6½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,20130405,p,sec,1,-,-,+7½-110,-7½-110,-,-,+3½-110,-3½-110,-,-,-1-110,+1-110,-,-,+3-110,-3-110,-,-,+6½-110,-6½-110,-,-,+3-110,-3-110
60,20130405,m,full,0,-,-,+245,-290,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,20130405,m,full,1,-,-,+265,-325,-,-,+210,-250,-,-,-200,+170,-,-,+240,-280,-,-,+335,-420,-,-,+125,-135
62,20130405,m,first,0,-,-,+170,-200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,20130405,m,first,1,-,-,+185,-225,-,-,+165,-190,-,-,-165,+145,-,-,+170,-200,-,-,+225,-265,-,-,+110,-130
64,20130405,m,sec,0,-,-,+313,-375,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,20130405,m,sec,1,-,-,+335,-420,-,-,+170,-200,-,-,-135,+115,-,-,+180,-220,-,-,+250,-300,-,-,+140,-160
66,20130405,t,full,0,-,-,192-110,192-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,20130405,t,full,1,-,-,204-110,204-110,-,-,203-110,203-110,-,-,193-110,193-110,-,-,197½-110,197½-110,-,-,191½-110,191½-110,-,-,191-110,191-110
68,20130405,t,first,0,-,-,97-110,97-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,20130405,t,first,1,-,-,103-110,103-110,-,-,102½-110,102½-110,-,-,97½-110,97½-110,-,-,99-110,99-110,-,-,95-110,95-110,-,-,96½-110,96½-110
70,20130405,t,sec,0,-,-,95-110,95-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,20130405,t,sec,1,-,-,99-110,99-110,-,-,98-110,98-110,-,-,95-110,95-110,-,-,99-110,99-110,-,-,96-110,96-110,-,-,94½-110,94½-110
72,20130406,p,full,0,-,-,-3-110,+3-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
