Index,date,bet,length,game_num,aw,hw,ao,ho,ab1,hb1,ab2,hb2,ab3,hb3,ab4,hb4,ab5,hb5,ab6,hb6,ab7,hb7,ab8,hb8,ab9,hb9,ab10,hb10
0,20070201,p,full,0,-,-,+5-110,-5-110,+5½-103,-,+5½-110,-5½-110,+5½-110,-5½-110,-,-,+6-110,-6-110,-,-,-,-,-,-,-,-,-,-
1,20070201,p,full,1,-,-,+6½-110,-6½-110,+6½-105,-6½-105,+6½-110,-6½-110,+7-110,-7-110,-,-,+6½-110,-6½-110,-,-,-,-,-,-,-,-,-,-
2,20070201,p,first,0,-,-,+2½-110,-2½-110,+3+107,-3-117,+3-110,-3-110,+3½-110,-3½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,20070201,p,first,1,-,-,+3½-110,-3½-110,+3½-103,-3½-107,+4-110,-4-110,+3½-110,-3½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,20070201,p,sec,0,-,-,-,-,+5+105,-5-115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,20070201,p,sec,1,-,-,-,-,+6+105,-6-115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,20070201,m,full,0,-,-,+190,-230,+210,-230,+220,-260,+235,-275,-,-,+220,-260,-,-,-,-,-,-,-,-,-,-
7,20070201,m,full,1,-,-,+240,-280,+252,-272,+245,-290,+250,-300,-,-,+240,-280,-,-,-,-,-,-,-,-,-,-
8,20070201,m,first,0,-,-,+155,-175,+185,-203,+160,-185,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,20070201,m,first,1,-,-,+170,-200,+183,-201,+170,-200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,20070201,m,sec,0,-,-,-,-,+194,-220,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,20070201,m,sec,1,-,-,-,-,+228,-260,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,20070201,t,full,0,-,-,193-110,193-110,194½+105,194½-115,194-110,194-110,194-110,194-110,-,-,194-110,194-110,-,-,-,-,-,-,-,-,-,-
13,20070201,t,full,1,-,-,207½-110,207½-110,207-105,207-105,207-110,207-110,207½-110,207½-110,-,-,209-105,209-115,-,-,-,-,-,-,-,-,-,-
14,20070201,t,first,0,-,-,98-110,98-110,98½-102,98½-108,98-110,98-110,98½-110,98½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,20070201,t,first,1,-,-,105-110,105-110,103½-107,103½-103,103½-110,103½-110,103½-110,103½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,20070201,t,sec,0,-,-,-,-,95½+106,95½-116,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,20070201,t,sec,1,-,-,-,-,104½-111,104½+101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,20070202,p,full,0,-,-,+2½-110,-2½-110,+2½+101,-2½-111,+3-110,-3-110,+3-110,-3-110,-,-,+2½-110,-2½-110,-,-,-,-,-,-,-,-,-,-
19,20070202,p,full,1,-,-,+1-110,-1-110,+2+104,-2-114,+2-110,-2-110,+2-110,-2-110,-,-,+2-115,-2-105,-,-,-,-,-,-,-,-,-,-
20,20070202,p,full,2,-,-,-5½-110,+5½-110,-6½+101,+6½-111,-6-110,+6-110,-6-110,+6-110,-,-,-6½-110,+6½-110,-,-,-,-,-,-,-,-,-,-
21,20070202,p,full,3,-,-,+7½-110,-7½-110,+7+103,-7-113,+7-110,-7-110,+7-110,-7-110,-,-,+7-110,-7-110,-,-,-,-,-,-,-,-,-,-
22,20070202,p,full,4,-,-,-2-110,+2-110,-,+1-114,-1-110,+1-110,-1-110,+1-110,-,-,-1-110,+1-110,-,-,-,-,-,-,-,-,-,-
23,20070202,p,full,5,-,-,+3½-110,-3½-110,+3½+104,-3½-114,+3½-110,-3½-110,+3-110,-3-110,-,-,+3½-115,-3½-105,-,-,-,-,-,-,-,-,-,-
24,20070202,p,full,6,-,-,+11-110,-11-110,+11-112,-11+102,+11½-110,-11½-110,+11½-110,-11½-110,-,-,+11½-110,-11½-110,-,-,-,-,-,-,-,-,-,-
25,20070202,p,full,7,-,-,+2½-110,-2½-110,+1½-107,-1½-103,+1½-110,-1½-110,+1-110,-1-110,-,-,+1½-110,-1½-110,-,-,-,-,-,-,-,-,-,-
26,20070202,p,full,8,-,-,+10-110,-10-110,+9+102,-9-112,+9-110,-9-110,+9-110,-,-,-,+9½-115,-9½-105,-,-,-,-,-,-,-,-,-,-
27,20070202,p,first,0,-,-,+1½-110,-1½-110,+1½-106,-1½-104,+1½-105,-1½-115,+1½-110,-1½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,20070202,p,first,1,-,-,+1-110,-1-110,+1-103,-1-107,+1-110,-1-110,+1-110,-1-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,20070202,p,first,2,-,-,-3-105,+3-115,-3½-105,+3½-105,-3½-105,+3½-115,-3½-115,+3½-105,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,20070202,p,first,3,-,-,+4-110,-4-110,+4+101,-4-111,+4-110,-4-110,+3½-105,-3½-115,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,20070202,p,first,4,-,-,-1-110,+1-110,-½-107,+½-103,-½-110,-,PK-115,PK-105,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,20070202,p,first,5,-,-,+1-110,-1-110,+1½+104,-1½-114,+1½-105,-1½-115,+1½-110,-1½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,20070202,p,first,6,-,-,+6-110,-6-110,+6+103,-6-113,+6½-115,-6½-105,+6½-110,-6½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,20070202,p,first,7,-,-,+1-110,-1-110,+1-107,-1-103,+1-105,-1-115,PK+100,PK-120,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,20070202,p,first,8,-,-,+5½-105,-5½-115,+5½-103,-5½-107,+5-110,-5-110,+5-105,-5-115,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,20070202,p,sec,0,-,-,-,-,+1-103,-1-107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,20070202,p,sec,1,-,-,-,-,-1+100,+1-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,20070202,p,sec,2,-,-,-,-,-2-107,+2-103,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,20070202,p,sec,3,-,-,-,-,-1½-109,+1½-101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,20070202,p,sec,4,-,-,-,-,+3½+114,-3½-124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,20070202,p,sec,5,-,-,-,-,-4½-113,+4½+103,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,20070202,p,sec,6,-,-,-,-,+6½+100,-6½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,20070202,p,sec,7,-,-,-,-,PK-108,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,20070202,p,sec,8,-,-,-,-,+7+116,-7-126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,20070202,m,full,0,-,-,+125,-145,+131,-141,+130,-150,+135,-155,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,20070202,m,full,1,-,-,+115,-135,+124,-134,+115,-135,+110,-130,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,20070202,m,full,2,-,-,-240,+200,-263,+243,-285,+243,-275,+235,-,-,-275,+235,-,-,-,-,-,-,-,-,-,-
48,20070202,m,full,3,-,-,+280,-340,+290,-320,+265,-325,+275,-325,-,-,+275,-350,-,-,-,-,-,-,-,-,-,-
49,20070202,m,full,4,-,-,-135,+115,-101,-109,-120,+100,-120,+100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,20070202,m,full,5,-,-,+125,-145,+155,-165,+140,-160,+145,-165,-,-,-,-160,-,-,-,-,-,-,-,-,-,-
51,20070202,m,full,6,-,-,+525,-750,+720,-,+575,-850,+750,-1100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,20070202,m,full,7,-,-,+120,-140,+103,-113,+115,-135,+100,-120,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,20070202,m,full,8,-,-,+450,-600,+465,-515,+420,-535,-,-500,-,-,+375,-550,-,-,-,-,-,-,-,-,-,-
54,20070202,m,first,0,-,-,+115,-135,+114,-124,+115,-135,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,20070202,m,first,1,-,-,+105,-125,+110,-120,+105,-125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,20070202,m,first,2,-,-,-175,+155,-210,+190,-200,+170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,20070202,m,first,3,-,-,+180,-220,+215,-235,-,-220,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
