Index,date,bet,length,game_num,aw,hw,ao,ho,ab1,hb1,ab2,hb2,ab3,hb3,ab4,hb4,ab5,hb5,ab6,hb6,ab7,hb7,ab8,hb8,ab9,hb9,ab10,hb10
0,20080102,p,full,0,-,-,+6½-110,-6½-110,+6-103,-6-107,+6-105,-6-105,+6½-110,-,+6-110,-6-110,+6½-115,-6½-105,-,-,-,-,-,-,+6-110,-6-110,+6-110,-6-110
1,20080102,p,full,1,-,-,-5½-110,+5½-110,-5-109,+5-101,-5½-105,+5½-105,-5-110,+5-110,-5-115,+5-105,-6-105,+6-115,-,-,-,-,-,-,-5-110,+5-110,-5-115,+5-105
2,20080102,p,full,2,-,-,+1½-110,-1½-110,-1-105,+1-105,-1½-103,+1½-107,-1-110,+1-110,-1½-110,+1½-110,-1½-110,+1½-110,-,-,-,-,-,-,-1-110,+1-110,-1½-110,+1½-110
3,20080102,p,full,3,-,-,+4½-110,-4½-110,+5-105,-5-105,+5-107,-5-103,+5-110,-5-110,+5-110,-5-110,+5-110,-5-110,-,-,-,-,-,-,+5-110,-5-110,+5-110,-5-110
4,20080102,p,full,4,-,-,+6½-110,-6½-110,+6½-115,-6½+105,+6-103,-6-107,+6-110,-6-110,+6-110,-,+6½-115,-6½-105,-,-,-,-,-,-,+6-110,-6-110,+6-110,-
5,20080102,p,full,5,-,-,+11-110,-11-110,+11½-104,-11½-106,+11+100,-11-110,+11-110,-11-110,+11-105,-11-115,+11½-115,-11½-105,-,-,-,-,-,-,+11½-110,-11½-110,+11-105,-11-115
6,20080102,p,full,6,-,-,+2½-110,-2½-110,+3-113,-3+103,+2½-108,-2½-102,+3-110,-3-110,+2½-110,-2½-110,+3-115,-3-105,-,-,-,-,-,-,+3-110,-3-110,+2½-110,-2½-110
7,20080102,p,full,7,-,-,+3½-110,-3½-110,+3½+104,-3½-114,+3½-101,-3½-109,+3½-110,-3½-110,+3½-110,-3½-110,+3½-110,-3½-110,-,-,-,-,-,-,+3½-110,-3½-110,+3½-110,-3½-110
8,20080102,p,full,8,-,-,-5½-110,+5½-110,-5+101,+5-111,-5-105,+5-105,-4½-110,+4½-110,-5-110,+5-110,-5½-110,+5½-110,-,-,-,-,-,-,-5-110,+5-110,-5-110,+5-110
9,20080102,p,full,9,-,-,+5½-110,-5½-110,+5½+105,-5½-115,+5½-105,-5½-105,+5½-110,-5½-110,+5½-105,-5½-115,+5½-110,-5½-110,-,-,-,-,-,-,+5½-110,-5½-110,+5½-105,-5½-115
10,20080102,p,full,10,-,-,+9-110,-9-110,+9-103,-9-107,+9-110,-9+100,-,-9-110,+9-110,-9-110,-,-9½-105,-,-,-,-,-,-,+9-110,-9-110,+9-110,-9-110
11,20080102,p,full,11,-,-,-4½-110,+4½-110,-5½+101,+5½-111,-5½-110,-,-5-110,+5-110,-5½-110,+5½-110,-5½-115,+5½-105,-,-,-,-,-,-,-5½-110,+5½-110,-5½-110,+5½-110
12,20080102,p,first,0,-,-,+3½-110,-3½-110,+3+105,-3-115,+3-105,-3-115,+4-115,-4-105,+3-105,-3-115,+3+100,-3-120,-,-,-,-,-,-,-,-3½-110,+3-105,-3-115
13,20080102,p,first,1,-,-,-2½-115,+2½-105,-2½-106,+2½-104,-2½-110,+2½-110,-3-110,+3-110,-2½-115,-,-3-115,+3-105,-,-,-,-,-,-,-2½-115,+2½-105,-2½-115,-
14,20080102,p,first,2,-,-,PK-110,PK-110,-½+101,+½-111,-½-110,-,PK-110,PK-110,PK-120,PK+100,+½-105,-½-115,-,-,-,-,-,-,PK-120,PK+100,PK-120,PK+100
15,20080102,p,first,3,-,-,+2½-105,-2½-115,+2½-105,-2½-105,+2½-115,-2½-105,+2½-110,-2½-110,+2½-105,-2½-115,+2½-110,-2½-110,-,-,-,-,-,-,+2½-110,-2½-110,+2½-105,-2½-115
16,20080102,p,first,4,-,-,+4-115,-4-105,+3½-110,-3½+100,+3½-115,-3½-105,+3½-115,-3½-105,+3½-110,-3½-110,+3½-110,-3½-110,-,-,-,-,-,-,+3½-115,-3½-105,+3½-110,-3½-110
17,20080102,p,first,5,-,-,+6½-115,-6½-105,+6½+108,-6½-118,+6½-110,-6½-110,-,-6½-115,+6½-115,-6½-105,+6½-105,-6½-115,-,-,-,-,-,-,+6½-110,-6½-110,+6½-115,-6½-105
18,20080102,p,first,6,-,-,+1½-115,-1½-105,+1½-106,-1½-104,+1½-115,-1½-105,+1½-105,-1½-115,+1-105,-,+1½-115,-1½-105,-,-,-,-,-,-,+1½-105,-1½-115,+1-105,-
19,20080102,p,first,7,-,-,+2-115,-2-105,+1½+101,-1½-111,+2-110,-,+2-110,-2-110,+2-110,-2-110,+2-110,-2-110,-,-,-,-,-,-,+2-110,-2-110,+2-110,-2-110
20,20080102,p,first,8,-,-,-3-110,+3-110,-2½-103,+2½-107,-2½-115,+2½-105,-2½-110,+2½-110,-2½-115,+2½-105,-2½-120,+2½+100,-,-,-,-,-,-,-2½-110,+2½-110,-2½-115,+2½-105
21,20080102,p,first,9,-,-,+3-110,-3-110,+3-113,-3+103,+3-110,-3-110,+3½-115,-,+3-110,-3-110,+3-110,-3-110,-,-,-,-,-,-,+3-110,-3-110,+3-110,-3-110
22,20080102,p,first,10,-,-,+5-115,-5-105,+5-108,-5-102,+5-110,-5-110,+5-105,-5-115,+5-105,-5-115,+5-105,-5-115,-,-,-,-,-,-,+5-105,-,+5-105,-5-115
