Index,date,bet,length,game_num,aw,hw,ao,ho,ab1,hb1,ab2,hb2,ab3,hb3,ab4,hb4,ab5,hb5,ab6,hb6,ab7,hb7,ab8,hb8,ab9,hb9,ab10,hb10
175,20151029,t,first,1,-,-,96½-110,96½-110,97-107,97-103,97-110,97-110,-,-,97-120,97+100,-,-,97½-110,97½-110,97½-110,97½-110,97-110,97-110,-,-,97-120,97+100
176,20151029,t,first,2,-,-,107½-110,107½-110,108½-101,108½-109,108½-110,108½-110,-,-,108½-110,108½-110,-,-,108½-110,108½-110,108½-110,108½-110,108½-110,108½-110,-,-,108½-110,108½-110
177,20151029,t,sec,0,-,-,97-110,97-110,-,-,97-110,97-110,-,-,97+105,97-125,-,-,97-110,97-110,-,-,-,-,-,-,97+105,97-125
178,20151029,t,sec,1,-,-,102-110,102-110,-,-,101½-110,101½-110,-,-,102-110,102-110,-,-,101½-115,101½-105,-,-,-,-,-,-,102-110,102-110
179,20151029,t,sec,2,-,-,104-110,104-110,-,-,104½-110,104½-110,-,-,104½-115,104½-105,-,-,104½-120,104½+100,-,-,-,-,-,-,104½-115,104½-105
180,20151030,p,full,0,-,-,+6½-110,-6½-110,+4½+100,-4½-110,+4½-105,-4½-105,+4½-110,-4½-110,+4½-110,-4½-110,+5-110,-5-110,+4½-105,-4½-105,+4½-110,-4½-110,+4½-110,-4½-110,+4½-110,-4½-110,+4½-110,-4½-110
181,20151030,p,full,1,-,-,-7-110,+7-110,-7½-105,+7½-105,-7½-105,+7½-105,-7½-110,+7½-110,-7½-110,+7½-110,-7½-110,+7½-110,-7½-105,+7½-105,-7½-110,+7½-110,-7½-110,+7½-110,-7½-110,+7½-110,-7½-110,+7½-110
182,20151030,p,full,2,-,-,-8½-110,+8½-110,-7½-102,+7½-108,-7½-108,+7½-102,-7½-110,+7½-110,-7½-110,+7½-110,-8-110,+8-110,-7½-105,+7½-105,-7½-110,+7½-110,-7½-110,+7½-110,-7½-110,+7½-110,-7½-110,+7½-110
183,20151030,p,full,3,-,-,+2½-110,-2½-110,+2-106,-2-104,+2-105,-2-105,+2-115,-2-105,+2-110,-2-110,+2-110,-2-110,+2-105,-2-105,+2-110,-2-110,+2-110,-2-110,+2-115,-2-105,+2-110,-2-110
184,20151030,p,full,4,-,-,-2½-110,+2½-110,-2½-107,+2½-103,-2½-108,+2½-102,-2½-110,+2½-110,-2½-115,+2½-105,-3½-105,+3½-115,-2½-105,+2½-105,-2½-110,+2½-110,-2½-110,+2½-110,-2½-110,+2½-110,-2½-115,+2½-105
