Index,date,bet,length,game_num,aw,hw,ao,ho,ab1,hb1,ab2,hb2,ab3,hb3,ab4,hb4,ab5,hb5,ab6,hb6,ab7,hb7,ab8,hb8,ab9,hb9,ab10,hb10
36,20131203,m,first,1,-,-,+295,-355,-,-,+200,-240,-,-,-160,+140,-,-,+125,-145,-,-,+210,-250,-,-,-220,+180
37,20131203,m,sec,0,-,-,+145,-165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,20131203,m,sec,1,-,-,+400,-500,-,-,+140,-160,-,-,+105,-125,-,-,+170,-200,-,-,+315,-380,-,-,-260,+220
39,20131203,t,full,0,-,-,209-110,209-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,20131203,t,full,1,-,-,200½-110,200½-110,-,-,185-110,185-110,-,-,205½-110,205½-110,-,-,189½-110,189½-110,-,-,193½-110,193½-110,-,-,203½-110,203½-110
41,20131203,t,first,0,-,-,104-110,104-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,20131203,t,first,1,-,-,100-110,100-110,-,-,92½-110,92½-110,-,-,102½-110,102½-110,-,-,95-110,95-110,-,-,97-110,97-110,-,-,101½-110,101½-110
43,20131203,t,sec,0,-,-,103-110,103-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,20131203,t,sec,1,-,-,100½-110,100½-110,-,-,92½-110,92½-110,-,-,101-110,101-110,-,-,95½-110,95½-110,-,-,96½-110,96½-110,-,-,100½-110,100½-110
45,20131204,p,full,0,-,-,-4-110,+4-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,20131204,p,full,1,-,-,-3½-110,+3½-110,-,-,+9½-110,-9½-110,-,-,+1½-110,-1½-110,-,-,-4½-110,+4½-110,-,-,-8½-110,+8½-110,-,-,+2½-110,-2½-110
47,20131204,p,first,0,-,-,-2½-110,+2½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,20131204,p,first,1,-,-,-2-105,+2-115,-,-,+6-110,-6-110,-,-,+½-110,-½-110,-,-,-2½-110,+2½-110,-,-,-4½-110,+4½-110,-,-,+1½-115,-1½-105
49,20131204,p,sec,0,-,-,-3-110,+3-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,20131204,p,sec,1,-,-,-4-125,+4+105,-,-,+9-110,-9-110,-,-,+1½-110,-1½-110,-,-,-4-110,+4-110,-,-,-5½-110,+5½-110,-,-,+4-110,-4-110
51,20131204,m,full,0,-,-,-190,+175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,20131204,m,full,1,-,-,-160,+150,-,-,+450,-600,-,-,+105,-125,-,-,-190,+175,-,-,-420,+335,-,-,+125,-135
53,20131204,m,first,0,-,-,-160,+140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,20131204,m,first,1,-,-,-145,+125,-,-,+290,-350,-,-,+100,-120,-,-,-160,+140,-,-,-240,+200,-,-,+110,-130
55,20131204,m,sec,0,-,-,-190,+165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,20131204,m,sec,1,-,-,-250,+210,-,-,+425,-550,-,-,+125,-145,-,-,-230,+190,-,-,-300,+250,-,-,+205,-245
57,20131204,t,full,0,-,-,202½-110,202½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,20131204,t,full,1,-,-,203-110,203-110,-,-,209½-110,209½-110,-,-,209½-110,209½-110,-,-,191½-110,191½-110,-,-,187½-110,187½-110,-,-,204½-110,204½-110
