Index,date,bet,length,game_num,aw,hw,ao,ho,ab1,hb1,ab2,hb2,ab3,hb3,ab4,hb4,ab5,hb5,ab6,hb6,ab7,hb7,ab8,hb8,ab9,hb9,ab10,hb10
0,20180603,p,full,0,58%,42%,+12½-108,-12½-102,+11½-110,-11½-100,+11½-108,-11½-102,+11½-110,-11½-110,+11½-123,-11½+103,+11-110,-11-110,+11-105,-11-105,+11½-120,-11½+100,+11-110,-11-110,+11½-110,-11½-110,+11½-123,-11½+103
1,20180603,p,first,0,60%,40%,+7-110,-7-110,+6-114,-6+102,+6-107,-6-103,+6-110,-6-110,+6-120,-6+100,+6-115,-6-105,+6-115,-6-105,+6-110,-6-110,+6-110,-6-110,+6-110,-6-110,+6-120,-6+100
2,20180603,p,sec,0,45%,55%,+3½-110,-3½-110,-,-,+3½-107,-3½-103,+3½-110,-3½-110,+3½-110,-3½-110,+3+105,-3-125,+3½-110,-3½-110,+3½-110,-3½-110,-,-,+3½-110,-3½-110,+3½-110,-3½-110
3,20180603,m,full,0,72%,28%,+600,-750,+444,-527,+455,-530,+447,-600,+410,-505,+350,-550,+395,-520,+425,-580,+425,-550,+447,-600,+410,-505
4,20180603,m,first,0,71%,29%,+290,-320,+244,-282,+275,-305,+260,-320,+235,-280,+230,-290,+240,-290,-,-,+240,-300,+260,-320,+235,-280
5,20180603,m,sec,0,66%,34%,+165,-190,-,-,+180,-195,+176,-210,+170,-195,+160,-200,+175,-205,-,-,-,-,+176,-210,+170,-195
6,20180603,t,full,0,51%,49%,215½-108,215½-102,216½+103,216½-114,216½-105,216½-105,216-110,216-110,216-107,216-113,216-115,216-105,217-105,217-105,216½-105,216½-115,216½-110,216½-110,216-110,216-110,216-107,216-113
7,20180603,t,first,0,54%,46%,110½-110,110½-110,110½-102,110½-111,110½-105,110½-105,111-105,111-115,110½-105,110½-115,111-110,111-110,110½-110,110½-110,111-110,111-110,110½-110,110½-110,111-105,111-115,110½-105,110½-115
8,20180603,t,sec,0,59%,41%,105-110,105-110,-,-,105½-102,105½-108,105½-105,105½-115,105½-105,105½-115,106-115,106-105,105½-110,105½-110,105½-115,105½-105,-,-,105½-105,105½-115,105½-105,105½-115
9,20180606,p,full,0,43%,57%,-5½-110,+5½-110,-3½-100,+3½-110,-3½-101,+3½-109,-3½-113,+3½-107,-3½-105,+3½-115,-3-115,+3-105,-3-105,+3-105,-3½-110,+3½-110,-3-110,+3-110,-3½-113,+3½-107,-3½-105,+3½-115
