Index,date,bet,length,game_num,aw,hw,ao,ho,ab1,hb1,ab2,hb2,ab3,hb3,ab4,hb4,ab5,hb5,ab6,hb6,ab7,hb7,ab8,hb8,ab9,hb9,ab10,hb10
0,20131101,p,full,0,-,-,-4-110,+4-110,-4-105,+4-105,-4-110,+4-110,-4-110,+4-110,-4-110,+4-110,-4-110,+4-110,-4-110,+4-110,-4-110,+4-110,-4-110,+4-110,-4-110,+4-110,-4-110,+4-110
1,20131101,p,full,1,-,-,-2½-110,+2½-110,-3½-105,+3½-105,-3½-110,+3½-110,-3½-110,+3½-110,-3½-110,+3½-110,-3½-110,+3½-110,-3½-110,+3½-110,-3½-110,+3½-110,-3½-110,+3½-110,-3½-110,+3½-110,-3½-110,+3½-110
2,20131101,p,full,2,-,-,+9½-110,-9½-110,+9½-105,-9½-105,+9½-105,-9½-105,+9½-110,-9½-110,+9½-110,-9½-110,+9-115,-9-105,+9½-105,-9½-115,+9-110,-9-110,+9-110,-9-110,+9½-110,-9½-110,+9½-110,-9½-110
3,20131101,p,full,3,-,-,+3-110,-3-110,+3½-106,-3½-104,+3½-103,-3½-107,+3½-110,-3½-110,+3½-110,-3½-110,+3½-110,-3½-110,+3½-110,-3½-110,+3½-110,-3½-110,+3½-110,-3½-110,+3½-110,-3½-110,+3½-110,-3½-110
4,20131101,p,full,4,-,-,+2-110,-2-110,+2½-105,-2½-105,+2½-110,-2½-110,+2½-110,-2½-110,+2-105,-2-115,+2-105,-2-115,+2½-110,-2½-110,+2½-110,-2½-110,+2-110,-2-110,+2½-110,-2½-110,+2-105,-2-115
5,20131101,p,full,5,-,-,+7-110,-7-110,+6½+100,-6½-110,+6½-110,-6½-110,+6½-109,-6½-111,+6½-110,-6½-110,+6½-105,-6½-115,+6½-110,-6½-110,+6½-110,-6½-110,+6½-110,-6½-110,+6½-109,-6½-111,+6½-110,-6½-110
6,20131101,p,full,6,-,-,+7½-110,-7½-110,+7½-108,-7½-102,+7½-107,-7½-103,+7½-110,-7½-110,+7½-110,-7½-110,+7½-110,-7½-110,+7½-105,-7½-115,+7½-110,-7½-110,+7½-110,-7½-110,+8-110,-8-110,+7½-110,-7½-110
7,20131101,p,full,7,-,-,+2-110,-2-110,+2-105,-2-105,+2-105,-2-105,+2-110,-2-110,+2-110,-2-110,+2-115,-2-105,+2-110,-2-110,+2-110,-2-110,+2-110,-2-110,+2-110,-2-110,+2-110,-2-110
8,20131101,p,full,8,-,-,-3½-110,+3½-110,-4-103,+4-107,-4-110,+4-110,-4-110,+4-110,-4-110,+4-110,-4½-110,+4½-110,-4-110,+4-110,-4-110,+4-110,-4-110,+4-110,-4-110,+4-110,-4-110,+4-110
9,20131101,p,full,9,-,-,+5-110,-5-110,+4½-107,-4½-103,+4½-103,-4½-107,+4½-110,-4½-110,+4½-110,-4½-110,+5-110,-5-110,+4½-105,-4½-115,+4½-110,-4½-110,+4½-110,-4½-110,+4½-110,-4½-110,+4½-110,-4½-110
10,20131101,p,full,10,-,-,+3-110,-3-110,+3-105,-3-105,+3-109,-3-101,+3-110,-3-110,+3-115,-3-105,+3-110,-3-110,+3-115,-3-105,+3-110,-3-110,+3-110,-3-110,+3-110,-3-110,+3-115,-3-105
11,20131101,p,full,11,-,-,-3½-110,+3½-110,-3½-107,+3½-103,-3½-110,+3½-110,-3½-110,+3½-110,-4-110,+4-110,-4-110,+4-110,-4-105,+4-115,-3½-110,+3½-110,-3½-110,+3½-110,-3½-110,+3½-110,-4-110,+4-110
12,20131101,p,full,12,-,-,-7½-110,+7½-110,-7½+100,+7½-110,-7-107,+7-103,-7½-110,+7½-110,-7½-110,+7½-110,-7½-110,+7½-110,-7-115,+7-105,-7½-110,+7½-110,-7½-110,+7½-110,-7½-110,+7½-110,-7½-110,+7½-110
13,20131101,p,first,0,-,-,-2-115,+2-105,-2-107,+2-103,-2-110,+2-110,-2-110,+2-110,-2-115,+2-105,-2-110,+2-110,-2-110,+2-110,-,-,-2-110,+2-110,-2-110,+2-110,-2-115,+2-105
14,20131101,p,first,1,-,-,-1½-105,+1½-115,-1½-115,+1½+104,-1½-110,+1½-110,-2-105,+2-115,-2-105,+2-115,-2-110,+2-110,-2-105,+2-115,-,-,-2-110,+2-110,-2-105,+2-115,-2-105,+2-115
15,20131101,p,first,2,-,-,+5½-115,-5½-105,+5½-113,-5½+102,+5-110,-5-110,+5-105,-5-115,+5-105,-5-115,+5½-115,-5½-105,+5-105,-5-115,-,-,+5-110,-5-110,+5-105,-5-115,+5-105,-5-115
16,20131101,p,first,3,-,-,+1½-115,-1½-105,+1½+104,-1½-115,+2-110,-2-110,+2-115,-2-105,+2-115,-2-105,+2-115,-2-105,+2-110,-2-110,-,-,+2-110,-2-110,+2-115,-2-105,+2-115,-2-105
17,20131101,p,first,4,-,-,+1-110,-1-110,+1+100,-1-110,+1-110,-1-110,+1-105,-1-115,+1-110,-1-110,+1-105,-1-115,+1-110,-1-110,-,-,+1-110,-1-110,+1-105,-1-115,+1-110,-1-110
18,20131101,p,first,5,-,-,+4-115,-4-105,+3½+101,-3½-111,+3½-110,-3½-110,+4-110,-4-110,+3½-110,-3½-110,+3½-105,-3½-115,+3½-105,-3½-115,-,-,+3½-110,-3½-110,+4-110,-4-110,+3½-110,-3½-110
19,20131101,p,first,6,-,-,+4-110,-4-110,+4-103,-4-107,+4-105,-4-115,+4-110,-4-110,+4-105,-4-115,+4-105,-4-115,+4-105,-4-115,-,-,+4-105,-4-115,+4-110,-4-110,+4-105,-4-115
20,20131101,p,first,7,-,-,+1-110,-1-110,+1-108,-1-102,+1-110,-1-110,+1-110,-1-110,+1-110,-1-110,+1-115,-1-105,+1-110,-1-110,-,-,+1-110,-1-110,+1-110,-1-110,+1-110,-1-110
21,20131101,p,first,8,-,-,-2-105,+2-115,-2-110,+2+100,-2-110,+2-110,-2-115,+2-105,-2½-105,+2½-115,-2-120,+2+100,-2½-110,+2½-110,-,-,-2½-110,+2½-110,-2-115,+2-105,-2½-105,+2½-115
22,20131101,p,first,9,-,-,+2½-110,-2½-110,+2½-107,-2½-103,+2½-110,-2½-110,+2½-115,-2½-105,+2½-110,-2½-110,+2½-110,-2½-110,+2½-110,-2½-110,-,-,+2½-110,-2½-110,+2½-115,-2½-105,+2½-110,-2½-110
23,20131101,p,first,10,-,-,+1½-110,-1½-110,+1½-102,-1½-108,+2-115,-2-105,+1½-105,-1½-115,+1½-105,-1½-115,+2-115,-2-105,+1½-105,-1½-115,-,-,+1½-105,-1½-115,+1½-105,-1½-115,+1½-105,-1½-115
24,20131101,p,first,11,-,-,-2-105,+2-115,-1½-107,+1½-103,-1½-110,+1½-110,-2-105,+2-115,-1½-110,+1½-110,-2-110,+2-110,-1½-110,+1½-110,-,-,-2-105,+2-115,-2-105,+2-115,-1½-110,+1½-110
25,20131101,p,first,12,-,-,-4-110,+4-110,-4-109,+4-101,-4½-105,+4½-115,-4-110,+4-110,-4-115,+4-105,-4½-110,+4½-110,-4-115,+4-105,-,-,-4-115,+4-105,-4-110,+4-110,-4-115,+4-105
