Index,date,bet,length,game_num,aw,hw,ao,ho,ab1,hb1,ab2,hb2,ab3,hb3,ab4,hb4,ab5,hb5,ab6,hb6,ab7,hb7,ab8,hb8,ab9,hb9,ab10,hb10
0,20090301,p,full,0,-,-,+9½-110,-9½-110,+8½-108,-8½-102,+8½-108,-,+8½-110,-8½-110,+8½-110,-8½-110,+9-115,-9-105,-,-,+8½-109,-8½-109,-,-,+8½-110,-8½-110,+8½-110,-8½-110
1,20090301,p,full,1,-,-,-4-110,+4-110,-,-,-4-110,+4-110,-,-,-2-110,+2-110,-,-,-5½-110,+5½-110,-,-,-4-110,+4-110,-,-,+2½-110,-2½-110
2,20090301,p,first,0,-,-,+5-110,-5-110,+4½-111,-4½+101,+4½-115,-4½-105,+4½-110,-4½-110,+4½-110,-4½-110,+5-115,-5-105,-,-,-,-,-,-,-,-4½-110,+4½-110,-4½-110
3,20090301,p,first,1,-,-,-2-110,+2-110,-,-,-2-105,+2-115,-,-,-1-110,+1-110,-,-,-3-110,+3-110,-,-,-2-105,+2-115,-,-,+1½-115,-1½-105
4,20090301,p,sec,0,-,-,PK-9999,PK-9999,+8½-114,-8½+104,+8-115,-8-105,+7-105,-7-115,+5½+140,-5½-160,+9-110,-9-110,-,-,-,-,-,-,+9-115,-9-105,+5½+140,-5½-160
5,20090301,p,sec,1,-,-,-7-110,+7-110,-,-,+½-110,-½-110,-,-,-2-110,+2-110,-,-,-4-110,+4-110,-,-,+1-110,-1-110,-,-,-3-110,+3-110
6,20090301,m,full,0,-,-,+400,-500,+375,-415,+378,-425,+365,-435,+325,-450,+350,-500,-,-,-,-450,-,-,+360,-440,+325,-450
7,20090301,m,full,1,-,-,-175,+155,-,-,-165,+145,-,-,-135,+115,-,-,-240,+200,-,-,-165,+145,-,-,+120,-140
8,20090301,m,first,0,-,-,+210,-250,+221,-241,+200,-240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,20090301,m,first,1,-,-,-145,+125,-,-,-140,+120,-,-,-120,+100,-,-,-185,+160,-,-,-145,+125,-,-,+110,-130
10,20090301,m,sec,0,-,-,+360,-450,-,-,+360,-450,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,20090301,m,sec,1,-,-,-450,+360,-,-,+100,-120,-,-,-165,+145,-,-,-235,+195,-,-,+105,-125,-,-,-175,+155
12,20090301,t,full,0,-,-,181-110,181-110,179-104,179-106,179-101,179-109,179½-110,179½-110,179-110,179-110,179-110,179-110,-,-,179-109,179-109,-,-,179-110,179-110,179-110,179-110
13,20090301,t,full,1,-,-,237-110,237-110,-,-,191½-110,191½-110,-,-,215½-110,215½-110,-,-,199½-110,199½-110,-,-,189½-110,189½-110,-,-,181½-110,181½-110
14,20090301,t,first,0,-,-,90-110,90-110,89+104,89-114,89-110,89-110,89½-110,89½-110,89-110,89-110,89-115,89-105,-,-,-,-,-,-,89½-110,89½-110,89-110,89-110
15,20090301,t,first,1,-,-,120½-110,120½-110,-,-,95½-110,95½-110,-,-,110½-110,110½-110,-,-,101½-110,101½-110,-,-,94½-110,94½-110,-,-,90½-110,90½-110
16,20090301,t,sec,0,-,-,90½-110,90½-110,91+101,91-111,91-110,91-110,90½-110,90½-110,91-110,91-110,90½-120,90½+100,-,-,-,-,-,-,90½-110,90½-110,91-110,91-110
