Index,date,bet,length,game_num,aw,hw,ao,ho,ab1,hb1,ab2,hb2,ab3,hb3,ab4,hb4,ab5,hb5,ab6,hb6,ab7,hb7,ab8,hb8,ab9,hb9,ab10,hb10
33,20061101,p,sec,1,-,-,-,-,-4½-101,+4½-109,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,20061101,p,sec,2,-,-,-,-,-2+105,+2-115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,20061101,p,sec,3,-,-,-,-,+4½+101,-4½-111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,20061101,p,sec,4,-,-,-,-,+3+104,-3-114,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,20061101,p,sec,5,-,-,-,-,+7-119,-7+109,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,20061101,p,sec,6,-,-,-,-,+2½-108,-2½-102,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,20061101,m,full,0,-,-,-125,+105,-111,+101,-120,+100,-115,-105,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,20061101,m,full,1,-,-,-130,+110,-113,+103,-125,+105,-120,+100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,20061101,m,full,2,-,-,+250,-300,+215,-235,+205,-245,+200,-240,-,-,+200,-240,-,-,-,-,-,-,-,-,-,-
42,20061101,m,full,3,-,-,+170,-200,+142,-152,+135,-155,+140,-160,-,-,+140,-160,-,-,-,-,-,-,-,-,-,-
43,20061101,m,full,4,-,-,+220,-260,+275,-305,+258,-315,+275,-325,-,-,+260,-320,-,-,-,-,-,-,-,-,-,-
44,20061101,m,full,5,-,-,+250,-300,-,-261,-,-265,+235,-275,-,-,+240,-280,-,-,-,-,-,-,-,-,-,-
45,20061101,m,full,6,-,-,+185,-225,+205,-225,+185,-225,+180,-210,-,-,+190,-230,-,-,-,-,-,-,-,-,-,-
46,20061101,m,first,0,-,-,-120,+100,+100,-110,-118,-102,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,20061101,m,first,1,-,-,-130,+110,-110,+100,-125,+105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,20061101,m,first,2,-,-,+155,-175,+173,-183,+158,-180,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,20061101,m,first,3,-,-,+125,-145,+127,-137,+120,-140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,20061101,m,first,4,-,-,+175,-210,+195,-215,+173,-205,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,20061101,m,first,5,-,-,+170,-200,-,-191,+170,-200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,20061101,m,first,6,-,-,+150,-170,+154,-164,+145,-165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,20061101,m,sec,0,-,-,-,-,-117,+107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,20061101,m,sec,1,-,-,-,-,-250,+224,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,20061101,m,sec,2,-,-,-,-,-137,+125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
