Index,game_id,date,season,arena,away_name,home_name,attendance,pace,ref1,ref2,ref3,away_q1,away_q2,away_q3,away_q4,away_ot,away_final,away_ortg,away_drtg,home_q1,home_q2,home_q3,home_q4,home_ot,home_final,home_ortg,home_drtg
138,201902260DEN,"10:30 PM, February 26, 2019",2019,"Pepsi Center, Denver, Colorado",Oklahoma City Thunder,Denver Nuggets,"18,378",106.8,Mark Ayotte,Tony Brothers,Marat Kogut,26,25,27,34,0,112,104.9,113.3,29,35,27,30,0,121,113.3,104.9
139,201902260NYK,"7:30 PM, February 26, 2019",2019,"Madison Square Garden (IV), New York, New York",Orlando Magic,New York Knicks,"17,833",98.1,J.B. DeRosa,Kane Fitzgerald,Aaron Smith,34,27,29,13,0,103,105.0,110.1,20,36,22,30,0,108,110.1,105.0
140,201902260TOR,"8:00 PM, February 26, 2019",2019,"Scotiabank Arena, Toronto, Canada",Boston Celtics,Toronto Raptors,"19,800",98.8,Pat Fraher,J.T. Orr,Zach Zarba,32,13,23,27,0,95,96.2,119.4,30,36,29,23,0,118,119.4,96.2
141,201902270ATL,"7:30 PM, February 27, 2019",2019,"State Farm Arena, Atlanta, Georgia",Minnesota Timberwolves,Atlanta Hawks,"14,101",100.8,Brian Forte,Rodney Mott,Brett Nansel,40,28,27,23,5,123,110.5,117.6,33,27,26,32,13,131,117.6,110.5
142,201902270BOS,"8:00 PM, February 27, 2019",2019,"TD Garden, Boston, Massachusetts",Portland Trail Blazers,Boston Celtics,"18,624",95.1,Brandon Adair,Courtney Kirkland,James Williams,25,18,31,23,0,97,102.0,96.8,24,18,22,28,0,92,96.8,102.0
143,201902270BRK,"7:30 PM, February 27, 2019",2019,"Barclays Center, Brooklyn, New York",Washington Wizards,Brooklyn Nets,"13,683",108.1,Mark Lindsay,Gediminas Petraitis,Michael Smith,34,34,33,24,0,125,115.7,107.3,28,32,19,37,0,116,107.3,115.7
144,201902270CHO,"7:00 PM, February 27, 2019",2019,"Spectrum Center, Charlotte, North Carolina",Houston Rockets,Charlotte Hornets,"17,903",102.3,Jason Goldenberg,Tre Maddox,Ed Malloy,41,21,28,28,0,118,115.3,110.4,33,36,25,19,0,113,110.4,115.3
145,201902270DAL,"8:30 PM, February 27, 2019",2019,"American Airlines Center, Dallas, Texas",Indiana Pacers,Dallas Mavericks,"19,978",93.7,Curtis Blair,Mitchell Ervin,Tom Washington,27,26,25,23,0,101,107.8,117.4,28,25,26,31,0,110,117.4,107.8
146,201902270LAL,"10:30 PM, February 27, 2019",2019,"STAPLES Center, Los Angeles, California",New Orleans Pelicans,Los Angeles Lakers,"18,997",107.9,Nick Buchert,David Guthrie,Ben Taylor,28,29,35,27,0,119,110.3,115.9,35,28,32,30,0,125,115.9,110.3
147,201902270MEM,"8:00 PM, February 27, 2019",2019,"FedEx Forum, Memphis, Tennessee",Chicago Bulls,Memphis Grizzlies,"13,711",100.9,Ron Garretson,Josh Tiven,Justin Van Duyne,20,26,29,34,0,109,108.0,106.0,20,26,28,33,0,107,106.0,108.0
148,201902270MIA,"7:30 PM, February 27, 2019",2019,"AmericanAirlines Arena, Miami, Florida",Golden State Warriors,Miami Heat,"19,647",97.3,Karl Lane,Jason Phillips,Haywoode Workman,22,37,33,33,0,125,128.5,129.5,32,42,26,26,0,126,129.5,128.5
149,201902270SAC,"10:00 PM, February 27, 2019",2019,"Golden 1 Center, Sacramento, California",Milwaukee Bucks,Sacramento Kings,"17,583",108.5,Kevin Cutler,Derek Richardson,Sean Wright,34,39,31,22,15,141,117.7,116.8,33,29,29,35,14,140,116.8,117.7
150,201902270SAS,"8:30 PM, February 27, 2019",2019,"AT&T Center, San Antonio, Texas",Detroit Pistons,San Antonio Spurs,"18,354",94.3,Brent Barnaky,Tyler Ford,Eric Lewis,27,21,19,26,0,93,98.7,111.4,32,19,27,27,0,105,111.4,98.7
151,201902270UTA,"9:00 PM, February 27, 2019",2019,"Vivint Smart Home Arena, Salt Lake City, Utah",Los Angeles Clippers,Utah Jazz,"18,306",104.0,Matt Boland,James Capers,Derrick Collins,33,23,27,22,0,105,101.0,106.7,26,23,34,28,0,111,106.7,101.0
152,201902280DEN,"10:30 PM, February 28, 2019",2019,"Pepsi Center, Denver, Colorado",Utah Jazz,Denver Nuggets,"19,520",99.2,Eric Dalen,Kane Fitzgerald,Scott Twardoski,19,33,29,30,0,111,111.9,104.9,22,15,33,34,0,104,104.9,111.9
153,201902280HOU,"8:00 PM, February 28, 2019",2019,"Toyota Center, Houston, Texas",Miami Heat,Houston Rockets,"18,119",94.4,Tony Brothers,Mitchell Ervin,Brian Forte,32,37,29,20,0,118,125.1,128.2,33,22,31,35,0,121,128.2,125.1
154,201902280IND,"7:00 PM, February 28, 2019",2019,"Bankers Life Fieldhouse, Indianapolis, Indiana",Minnesota Timberwolves,Indiana Pacers,"17,003",97.1,Mark Ayotte,Marat Kogut,Tre Maddox,35,25,30,25,0,115,118.4,125.6,26,38,28,30,0,122,125.6,118.4
155,201902280NYK,"7:30 PM, February 28, 2019",2019,"Madison Square Garden (IV), New York, New York",Cleveland Cavaliers,New York Knicks,"17,573",95.9,Ray Acosta,Kevin Scott,Scott Wall,27,30,28,40,0,125,130.3,123.0,31,28,38,21,0,118,123.0,130.3
156,201902280OKC,"8:00 PM, February 28, 2019",2019,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",Philadelphia 76ers,Oklahoma City Thunder,"18,203",101.4,Tony Brown,John Goble,Dedric Taylor,37,23,26,22,0,108,106.5,102.6,26,23,30,25,0,104,102.6,106.5
157,201902280ORL,"7:00 PM, February 28, 2019",2019,"Amway Center, Orlando, Florida",Golden State Warriors,Orlando Magic,"18,846",101.2,Mike Callahan,J.T. Orr,Leroy Richardson,22,29,30,15,0,96,94.9,101.8,28,31,11,33,0,103,101.8,94.9
