Index,game_id,date,season,arena,away_name,home_name,att,pace,ref1,ref2,ref3,away_q1,away_q2,away_q3,away_q4,away_ot,away_final,away_ortg,away_drtg,home_q1,home_q2,home_q3,home_q4,home_ot,home_final,home_ortg,home_drtg
0,201402010ATL,"7:30 PM, February 1, 2014",2014,"Philips Arena, Atlanta, Georgia",Minnesota Timberwolves,Atlanta Hawks,"13,018",100.9,Brian Forte, Marat Kogut, Jason Phillips,24,30,21,38,0,113,111.9,118.9,25,23,38,34,0,120,118.9,111.9
1,201402010DET,"7:30 PM, February 1, 2014",2014,"The Palace of Auburn Hills, Auburn Hills, Michigan",Philadelphia 76ers,Detroit Pistons,"16,649",101.6,Mark Ayotte, James Capers, Pat Fraher,22,27,21,26,0,96,94.5,111.2,32,25,36,20,0,113,111.2,94.5
2,201402010HOU,"8:00 PM, February 1, 2014",2014,"Toyota Center, Houston, Texas",Cleveland Cavaliers,Houston Rockets,"18,309",96.4,Derrick Collins, John Goble, Haywoode Workman,23,29,21,19,0,92,95.5,110.0,31,30,23,22,0,106,110.0,95.5
3,201402010IND,"7:00 PM, February 1, 2014",2014,"Bankers Life Fieldhouse, Indianapolis, Indiana",Brooklyn Nets,Indiana Pacers,"18,165",94.4,Matt Boland, Eric Lewis, Ed Malloy,24,21,25,26,0,96,101.7,102.8,25,21,26,25,0,97,102.8,101.7
4,201402010LAC,"10:30 PM, February 1, 2014",2014,"STAPLES Center, Los Angeles, California",Utah Jazz,Los Angeles Clippers,"19,060",85.9,David Guthrie, Rodney Mott, Eli Roe,21,21,23,22,0,87,101.3,118.8,19,23,34,26,0,102,118.8,101.3
5,201402010MEM,"8:00 PM, February 1, 2014",2014,"FedEx Forum, Memphis, Tennessee",Milwaukee Bucks,Memphis Grizzlies,"17,017",86.4,Nick Buchert, Mike Callahan, Mark Lindsay,24,25,20,21,0,90,104.2,114.6,17,26,24,32,0,99,114.6,104.2
6,201402010NOP,"8:00 PM, February 1, 2014",2014,"Smoothie King Center, New Orleans, Louisiana",Chicago Bulls,New Orleans Pelicans,"17,799",82.2,Eric Dalen, Tom Washington, Sean Wright,21,18,18,22,0,79,96.1,107.1,23,27,21,17,0,88,107.1,96.1
7,201402010NYK,"8:30 PM, February 1, 2014",2014,"Madison Square Garden (IV), New York, New York",Miami Heat,New York Knicks,"19,812",87.1,Scott Foster, Kevin Scott, Zach Zarba,29,24,24,29,0,106,121.7,104.4,22,24,25,20,0,91,104.4,121.7
8,201402010PHO,"9:00 PM, February 1, 2014",2014,"US Airways Center, Phoenix, Arizona",Charlotte Bobcats,Phoenix Suns,"16,248",92.6,Curtis Blair, Courtney Kirkland, Ken Mauer,27,14,22,32,0,95,102.6,113.4,32,27,31,15,0,105,113.4,102.6
9,201402010POR,"10:00 PM, February 1, 2014",2014,"Moda Center, Portland, Oregon",Toronto Raptors,Portland Trail Blazers,"19,996",94.8,Derek Richardson, Bill Spooner, Gary Zielinski,19,21,34,29,0,103,108.6,111.8,31,26,26,23,0,106,111.8,108.6
10,201402010SAS,"8:30 PM, February 1, 2014",2014,"AT&T Center, San Antonio, Texas",Sacramento Kings,San Antonio Spurs,"18,581",91.8,Bennie Adams, Marc Davis, Kane Fitzgerald,24,29,25,15,0,93,101.3,103.4,27,25,19,24,0,95,103.4,101.3
11,201402010WAS,"7:00 PM, February 1, 2014",2014,"Verizon Center, Washington, District of Columbia",Oklahoma City Thunder,Washington Wizards,"20,356",93.4,Violet Palmer, Leroy Richardson, Bennett Salvatore,13,25,26,17,0,81,86.7,102.8,25,17,36,18,0,96,102.8,86.7
12,201402020BOS,"1:00 PM, February 2, 2014",2014,"TD Garden, Boston, Massachusetts",Orlando Magic,Boston Celtics,"18,624",89.8,Dick Bavetta, David Jones, Josh Tiven,19,26,19,25,0,89,99.2,107.0,27,27,17,25,0,96,107.0,99.2
13,201402030BRK,"7:30 PM, February 3, 2014",2014,"Barclays Center, Brooklyn, New York",Philadelphia 76ers,Brooklyn Nets,"16,727",96.4,Dan Crawford, Karl Lane, Scott Wall,16,33,20,33,0,102,105.8,112.0,24,30,30,24,0,108,112.0,105.8
14,201402030DAL,"8:30 PM, February 3, 2014",2014,"American Airlines Center, Dallas, Texas",Cleveland Cavaliers,Dallas Mavericks,"19,595",91.5,Bennie Adams, Nick Buchert, Mike Callahan,25,27,27,28,0,107,117.0,135.6,27,32,35,30,0,124,135.6,117.0
15,201402030DEN,"9:00 PM, February 3, 2014",2014,"Pepsi Center, Denver, Colorado",Los Angeles Clippers,Denver Nuggets,"16,567",99.8,Brent Barnaky, Marc Davis, Eric Lewis,29,31,21,34,0,115,115.2,116.2,25,35,22,34,0,116,116.2,115.2
16,201402030IND,"7:00 PM, February 3, 2014",2014,"Bankers Life Fieldhouse, Indianapolis, Indiana",Orlando Magic,Indiana Pacers,"16,266",89.3,Joe Crawford, Mark Lindsay, James Williams,22,28,13,16,0,79,88.5,109.8,29,30,16,23,0,98,109.8,88.5
17,201402030MIA,"7:30 PM, February 3, 2014",2014,"AmericanAirlines Arena, Miami, Florida",Detroit Pistons,Miami Heat,"19,802",97.4,Kane Fitzgerald, Monty McCutchen, Violet Palmer,29,28,23,16,0,96,98.5,104.7,32,31,21,18,0,102,104.7,98.5
18,201402030MIL,"8:00 PM, February 3, 2014",2014,"BMO Harris Bradley Center, Milwaukee, Wisconsin",New York Knicks,Milwaukee Bucks,"11,147",87.2,James Capers, Derrick Collins, Olandis Poole,19,24,26,29,0,98,112.4,115.8,18,32,25,26,0,101,115.8,112.4
19,201402030NOP,"8:00 PM, February 3, 2014",2014,"Smoothie King Center, New Orleans, Louisiana",San Antonio Spurs,New Orleans Pelicans,"17,086",92.8,Tony Brown, Scott Foster, J.T. Orr,25,17,22,38,0,102,109.9,102.4,27,27,22,19,0,95,102.4,109.9
20,201402030OKC,"8:00 PM, February 3, 2014",2014,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",Memphis Grizzlies,Oklahoma City Thunder,"18,203",86.6,Brian Forte, Michael Smith, Sean Wright,18,18,25,16,0,77,88.9,99.3,20,31,18,17,0,86,99.3,88.9
21,201402030SAC,"10:00 PM, February 3, 2014",2014,"Sleep Train Arena, Sacramento, California",Chicago Bulls,Sacramento Kings,"15,178",94.9,David Guthrie, Rodney Mott, Eli Roe,12,21,24,13,0,70,73.8,104.3,24,20,27,28,0,99,104.3,73.8
22,201402030UTA,"9:00 PM, February 3, 2014",2014,"EnergySolutions Arena, Salt Lake City, Utah",Toronto Raptors,Utah Jazz,"17,139",79.8,Curtis Blair, Tre Maddox, Ken Mauer,24,31,16,23,0,94,117.9,99.0,27,17,18,17,0,79,99.0,117.9
